Date,Year,MonthNumber,Month,Quarter,Day,WeekNumber
2025-09-21,2025,9,September,3,21,38
2025-09-22,2025,9,September,3,22,39
2025-09-23,2025,9,September,3,23,39
2025-09-24,2025,9,September,3,24,39
2025-09-25,2025,9,September,3,25,39
2025-09-26,2025,9,September,3,26,39
2025-09-27,2025,9,September,3,27,39
2025-09-28,2025,9,September,3,28,39
2025-09-29,2025,9,September,3,29,40
2025-09-30,2025,9,September,3,30,40
2025-10-01,2025,10,October,4,1,40
2025-10-02,2025,10,October,4,2,40
2025-10-03,2025,10,October,4,3,40
2025-10-04,2025,10,October,4,4,40
